source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp,target_class
115744253324806528,45.81475041023,27.27802707026,0.8085,37.468,-39.021,11.535808,0.674567,RR
1158019875601204224,223.53607152961,4.05529534715,0.251,-3.105,-3.28,13.546377,0.415895,RR
1158045198728383488,223.85032426627,4.24526191069,0.1959,-0.41,-13.78,14.062481,0.684391,RR
1158228748450642944,224.08522781686,4.9476467566,0.1552,-3.184,-12.47,14.27988,0.417538,RR
1159234526712211712,222.29883486606,5.71778403978,0.3097,-12.543,-2.994,12.866788,0.374242,RR
1159287956105351424,222.87296214044,5.85592689522,0.2357,-18.907,1.693,13.857767,0.337823,RR
1160814215683810304,223.86357309143,6.24769472971,0.1525,-8.159,-4.318,14.379016,0.645824,RR
1162395240389682176,231.11226177325,6.46721686969,0.3286,-10.439,-5.694,12.552856,0.518717,RR
1162614665974422528,232.20937792264,7.00695195044,0.1407,-9.143,0.472,14.885489,0.426406,RR
1163106212095460736,229.78877319155,6.67397182363,0.2389,0.508,-8.014,13.552021,0.456923,RR
1163903534120157952,229.82815581107,7.88499596103,0.323,-27.503,2.279,12.846724,0.566506,RR
1166109154446112128,233.87754591299,10.9099893664,0.2107,-10.803,-1.764,13.633069,0.480066,RR
1166374377266424704,233.27767765558,11.41559661838,0.2198,-7.618,-16.06,13.643843,0.680996,RR
1167409941124817664,228.50365820221,9.980884657,0.7577,-40.037,-41.798,11.085834,0.441297,RR
1168430498369559552,227.04339998618,10.5823926453,0.3054,-3.803,-7.36,13.0965,0.358264,RR
1169073300354998656,229.92104308201,10.95672006997,0.1918,5.75,-17.12,13.782611,0.609944,RR
1169719710113351168,232.47604078124,12.68607043632,0.2662,0.955,-9.099,12.998241,0.445165,RR
1170168104698440448,228.09152648184,11.90976891257,0.2282,-6.244,-14.572,13.434443,0.71015,RR
1170190610327078144,228.28148392827,12.13427859207,0.1074,-23.585,-7.183,14.056018,0.586653,RR
1172394547025271040,217.86841408501,7.24673520704,0.1727,-8.863,-0.928,15.159538,0.510848,RR
1173022127646573440,218.82001162958,8.62680359611,0.1504,-1.282,-4.137,14.5019,0.398008,RR
1173716606678290304,222.15070258593,9.04186897126,0.1819,-2.563,-10.507,13.591245,0.414129,RR
1174194791157323520,223.49351877656,9.94600612908,0.2207,-0.581,-4.987,13.318493,0.453086,RR
1178272364388562304,220.60596623244,11.03054228741,0.2172,-5.519,-5.017,13.522409,0.672623,RR
1178435848023738624,221.73758917504,11.86835431832,0.1392,-9.04,-5.069,14.262611,0.664606,RR
1179022471837224064,219.1658040494,12.17571189509,0.212,-7.412,-6.51,14.359231,0.605335,RR
1179306695592795520,218.19741296397,12.7851219636,0.183,-7.103,-11.476,14.644134,0.407727,RR
1179519451092765312,219.42633372979,13.16915343308,0.1969,-6.764,-14.064,13.619615,0.43727,RR
1180979327656578432,226.91913781085,12.69521377769,0.1925,0.044,-9.976,13.624344,0.555985,RR
1181744244152149248,225.02666016874,12.81341938191,0.1572,-7.283,-7.874,15.083112,0.665465,RR
1182530047072869632,227.29224027797,13.17237573075,0.2081,-15.85,-12.28,13.707812,0.607767,RR
1182533693500887168,227.2282766568,13.20080380825,0.1355,-8.274,-3.995,14.314537,0.46402,RR
1182594063561176064,227.34219077412,13.54009610879,0.178,-4.495,-0.62,14.59536,0.641032,RR
1183706283996839680,225.38729350339,14.70155933665,0.3289,-7.082,-3.134,12.529523,0.626489,RR
118398440032278528,50.37751588557,27.09812091311,0.2202,8.772,-14.269,14.192176,0.706041,RR
1184052084699621632,228.47221826613,15.47955491717,0.1929,-5.418,-2.677,13.667943,0.626251,RR
1185142319197409024,223.67604563763,14.24699982716,0.2144,-5.083,-6.147,13.949441,0.51349,RR
1185571777272936448,223.52013729272,15.6296337998,0.5118,-11.966,-8.318,11.932842,0.376058,RR
1185666373926958080,220.10326005664,13.86294796798,0.2922,-0.051,-13.745,13.331934,0.34664,RR
1185942999884896640,219.59070157774,14.41518332993,0.2882,-1.414,-25.182,13.107498,0.624514,RR
1187566055141780480,225.40627124344,16.63153250358,0.1991,-6.709,-1.344,14.141967,0.37049,RR
1188579422609870848,226.28656551991,18.29063233541,0.3581,-7.611,-21.611,12.61885,0.45437,RR
1189000883456888064,236.77459877961,10.20769021047,0.1788,-8.134,-8.047,14.532217,0.539809,RR
1189252671619843200,235.42049351549,10.47866609107,0.21,-0.66,-10.858,13.383811,0.429861,RR
1189522361209162752,237.81381143239,10.99523513039,0.1527,-3.553,-8.142,13.837772,0.506387,RR
1190407571145745024,234.53315385379,12.02820236316,0.153,2.084,-8.247,14.118243,0.730389,RR
1190987357371157376,235.87353013422,13.4014921519,0.2822,-12.838,-16.99,13.20195,0.442617,RR
1191345695083956608,239.89995811137,12.77298697828,0.2994,7.59,-27.049,13.001987,0.693356,RR
1191510003353849472,238.37938958976,12.96110217185,0.9893,0.328,-9.058,11.03285,0.660465,RR
1192888928374938624,237.68503303838,15.59947024232,0.1443,-3.657,-4.31,14.745768,0.611011,RR
1193137104465445888,239.41337930951,16.00021507896,0.5015,-41.292,-6.377,11.609994,0.461011,RR
1193183528770580224,238.61709882707,15.35605797379,0.2104,-17.853,1.871,13.546773,0.553284,RR
1194530499231574400,234.38900163022,15.09021148912,0.1935,-5.841,1.455,13.616162,0.414697,RR
1196253502675947008,236.1752657846,16.61767797486,0.2204,-26.947,-15.267,13.385358,0.640152,RR
