source_id,bp_rp,target_class,period
2063862597552413056,3.669432,CEP,4.29823964700577
2065676860459788160,3.053021,CEP,12.3529777412425
206577210999441536,1.984124,CEP,13.8450522912115
2065869957888142720,3.122592,CEP,5.68437306697526
2066169128129884288,3.424963,CEP,10.6101641683182
2066760837184240896,2.824179,CEP,8.72134411719908
2066900067144378752,2.920517,CEP,5.96862755495895
2067041835424318720,4.037917,CEP,4.93593827554616
2067251361107786880,4.782989,CEP,10.289114624025
2067549118302850304,3.024945,CEP,20.0533702855478
2068663855595724672,3.014017,CEP,33.2238351676207
2069606682514776832,3.565972,CEP,10.9091765776384
2070181319081749504,4.710394,CEP,34.4244534881831
2070224337474904064,2.054071,CEP,10.1420974233481
2071433765909167232,1.84288,CEP,15.1143981827811
2071447097488127616,3.012879,CEP,47.3031465156314
2072329902270080128,1.419454,CEP,3.89690440690063
2073935223599391872,1.591778,CEP,3.37081391690915
2074102933481447808,1.587344,CEP,4.32812570358039
2074655609859721472,3.297568,CEP,9.43239236764613
207722317998325632,1.527488,CEP,2.4769620560331
2078709577944648192,1.173854,CEP,4.92551269858491
2083759085103721984,2.126458,CEP,9.44574176094643
2117150840907657216,0.993855,CEP,51.5508541973167
2130507330205591296,0.991031,CEP,10.4028379913749
2141004260338257792,0.976781,CEP,7.22743517621465
2161786374436607616,2.551886,CEP,14.7122011236077
2162275240493961984,2.349571,CEP,3.95054130644791
2162640763705905920,1.891079,CEP,3.56902050049036
2162777790346215936,1.706866,CEP,1.61712643725779
2163267519678403712,3.371213,CEP,7.09076816810796
2163329126697735552,3.691232,CEP,5.79288835977443
2163333284226072960,3.020708,CEP,6.38550373994181
2163744982615101568,3.003925,CEP,6.76730844712591
2164359918864249728,1.765904,CEP,5.0571671857534
2164475809937299584,1.255489,CEP,1.76598530444504
2165638925753967232,2.922216,CEP,7.61102247221104
2165771172070496512,1.946775,CEP,7.25132012102445
2166276333253570432,3.006558,CEP,12.2183612182005
2166303099490547072,2.276804,CEP,5.0989418233378
2166382882810197504,2.23433,CEP,8.73611095675168
2166389269407411200,1.899429,CEP,3.16085875092455
2166818804808477824,2.889644,CEP,10.6308289904819
2166861170366710272,1.757933,CEP,4.04925385635501
2167601931957286016,2.591813,CEP,3.94809911065295
2168490814081092608,2.142116,CEP,2.03053201300584
2168683473441151872,2.027778,CEP,2.4183064049149
2168881591694145920,3.527143,CEP,31.1333305269462
2168974530478099328,2.566732,CEP,9.72291781822014
2170785842762144512,1.682551,CEP,7.9664070114229
2171143630713575424,3.125582,CEP,3.43494136301504
2171569966347494400,1.702446,CEP,6.11869718874669
2171687236130073856,3.122971,CEP,4.31496003147323
2171786982452223232,3.042353,CEP,6.92892730539786
2171965824893716992,2.446271,CEP,2.99677161745196
2172000322072006400,2.23253,CEP,7.12547811266412
2172278803454142720,2.886491,CEP,5.85241290256187
2172625119548821760,2.449359,CEP,5.39251017915485
2172686554763264768,2.050223,CEP,4.56210109307629
2172735787961250176,2.62444,CEP,3.29660583100137
2173195216334113536,2.215682,CEP,5.31886958963533
2173289224575696768,3.192011,CEP,11.4533903358208
2173372542630709632,2.344758,CEP,6.70385935618865
2173782183742263552,2.592745,CEP,3.36040599938132
2173914090776117632,2.533343,CEP,7.26223103919299
2173958243040530944,2.968446,CEP,4.35223551948933
2174068847034667264,2.120821,CEP,5.7973699952028
2174627776903099648,2.398501,CEP,4.89422601442534
2174677564161400064,2.007919,CEP,7.23066838297462
2174833591730216192,3.277667,CEP,8.06610689991788
2174872108997359616,3.067862,CEP,4.76111017561388
2174891728408509056,2.551531,CEP,5.03227298867273
2175017313256205312,2.488246,CEP,6.30890377545643
2175235635031237248,2.590825,CEP,8.19235362123267
2175555936502486912,3.74223,CEP,4.61828717595378
2175754398354311552,3.353859,CEP,4.4233992037567
2176050304426499840,2.583311,CEP,31.0724883536907
2177714415280658944,2.138411,CEP,6.71536382759283
2177814470836630912,3.109749,CEP,13.4342320638178
2178267022947704704,2.656447,CEP,3.21410830066285
2198162651499971200,2.037813,CEP,17.8673731712559
2198341184695523712,2.452192,CEP,4.55813412355185
2198576445824899968,2.437874,CEP,2.98620342873852
2199062876642955776,2.102787,CEP,7.34888389924516
2199092494738136576,2.183833,CEP,2.85021743808755
2200018111723748224,1.79592,CEP,3.76783315115666
2200136721542850816,2.291804,CEP,3.79928170406415
2200153454733285248,0.970615,CEP,5.3661535355148
2200288041828202112,2.866457,CEP,4.10700317184683
2200771620783330560,2.260127,CEP,4.70870338882148
2200995921154697216,2.525533,CEP,8.97626618859399
2201578731037441280,2.450059,CEP,6.56444549736377
2202500843341252736,2.053779,CEP,3.7593683857947
2203140071913180032,2.787497,CEP,5.27977614974585
2206773923475727488,2.913997,CEP,5.38259375309437
2208664430643981568,1.823096,CEP,8.55773958401725
2209335510692749056,2.407341,CEP,9.5036575643908
2211309340220914560,2.344525,CEP,3.1570400219534
2213284887737841664,1.945205,CEP,8.44623451345917
228741784865956224,1.510561,CEP,4.29008699279135
229602496313775872,1.662117,CEP,2.04160493560177
2402785682420206848,0.926801,CEP,38.7646394800121
246611563239644544,1.730458,CEP,2.9891760055302
247358200355952256,2.597186,CEP,3.59339035132336
248494232082353152,1.423292,CEP,4.1181902219012
250807196530369152,2.45433,CEP,3.37278122797221
251034486199934720,2.336827,CEP,4.15912808925632
251325959859513856,1.853839,CEP,5.6289881612435
251864136443731584,2.840445,CEP,3.70590368968831
